layer_name,time,cpu_mem,cuda_mem,size,macs
layer_9_add_mid_position_embedding, 0.0010162880420684815,0,1110,9.9638671875,0
layer_10_Layer_Norm_Before, 0.001281280040740967,0,0,9.9638671875,0
layer_10_Query, 0.01736960029602051,0, 0,9.9638671875,0
layer_10_Key, 0.0174085750579834,0,0,9.9638671875,0
layer_10_Value, 0.017307167053222657,0,0,9.9638671875,0
layer_10_mul, 0.08874444580078125,0,520,529.4861297607422,0
layer_10_div, 0.030646015167236328,0,520,529.4861297607422,0
layer_10_softmax, 0.07290499114990234,0,0,529.4861297607422,0
layer_10_dropout, 0.00024639999866485595,0,0,529.4861297607422,0
layer_10_context, 0.07190102386474609,0,0,9.9638671875,0
layer_10_Self_Attention_Output, 0.017518047332763673,0,0,9.9638671875,0
layer_10_Residual_Connection_1, 0.0009974079728126525,0,0,9.9638671875,0
layer_10_Layer_Norm_After, 0.0013170559406280517,0,200,9.9638671875,0
layer_10_Intermediate_Forward, 0.07110829162597657,0,800,39.85546875,0
layer_10_Output, 0.06648019409179687,0,1130,9.9638671875,0
layer_10_add_mid_position_embedding, 0.0010429439544677734,0,1170,9.9638671875,0
layer_11_Layer_Norm_Before, 0.0012704639434814454,0,0,9.9638671875,0
layer_11_Query, 0.017429119110107423,0, 0,9.9638671875,0
layer_11_Key, 0.017212223052978516,0,0,9.9638671875,0
layer_11_Value, 0.017444416046142577,0,0,9.9638671875,0
layer_11_mul, 0.08872077178955078,0,520,529.4861297607422,0
layer_11_div, 0.03101308822631836,0,520,529.4861297607422,0
layer_11_softmax, 0.0728730239868164,0,0,529.4861297607422,0
layer_11_dropout, 0.0001876160055398941,0,0,529.4861297607422,0
layer_11_context, 0.07159276580810547,0,0,9.9638671875,0
layer_11_Self_Attention_Output, 0.017522111892700195,0,0,9.9638671875,0
layer_11_Residual_Connection_1, 0.0011289279460906982,0,0,9.9638671875,0
layer_11_Layer_Norm_After, 0.0015375360250473023,0,200,9.9638671875,0
layer_11_Intermediate_Forward, 0.0713001937866211,0,800,39.85546875,0
layer_11_Output, 0.06587257385253906,0,1130,9.9638671875,0
Layer_Norm, 0.0014014079570770263,0,0,9.9638671875,0
Class_Labels_Classifier, 0.0021208639144897463,0,0,0.03509521484375,0
Box_Predictor, 0.0019552639722824096,0,0,0.00152587890625,0
output,0,0,0,0,0
